,X,Season_playerid,PA,X1B,X2B,HR,R,RBI,BB,IBB,SO,GDP,SB,CS,AVG,BB.,K.,BB.K,OBP,SLG,ISO,BABIP,wRC,WAR,Spd,wRC.,WPA,SAC
64,64,2001 _ 55,1.776143658,-1.134506316,0.424278842,2.922885734,2.049831724,2.076490769,1.316022517,2.846185225,0.456259004,0.097302289,-0.815522443,0.979115429,1.746450157,13.70%,11.40%,0.876481518,2.26333181,3.382135095,3.260896664,-0.062654194,3.721837628,2.855682816,-0.480366825,2.451274839,1.771317416,-0.853607177
65,65,1961 _ 1004612,-0.010709265,-1.537076783,-0.23877011,2.820355878,1.374471164,3.165576014,1.959959854,-0.067070498,-0.697706438,0.009135859,-0.801824102,0.937902056,0.912567476,16.00%,17.60%,0.280068886,2.098954423,2.816474639,2.955601491,-0.127404262,2.222980788,2.427121194,-1.030368089,2.72949672,NA,0.013557902
66,66,1999 _ 1008559,0.833473218,-2.777046548,-1.068491272,4.091871406,2.16287404,2.829145897,3.153831693,2.704705494,-1.381266805,0.226260844,-0.880346877,1.174148794,0.042429026,20.10%,21.30%,0.341766744,2.126350654,3.50334805,4.144645847,-1.584280785,2.950996967,1.474762032,-1.641480605,2.252544923,2.489668111,-0.759910428
67,67,2003 _ 432,1.424400957,0.229673156,2.134053947,1.093787592,2.730210763,1.288317055,1.90702439,2.480360501,0.670776312,-0.836681695,-0.880346877,0.366272324,2.942890526,15.80%,10.20%,1.575723915,3.057822516,2.600984942,1.782625302,2.074098039,3.379241779,1.760469781,-0.602589328,2.053815008,1.99122069,-0.4378328
68,68,1997 _ 893,0.439521393,1.234401933,0.517352528,2.041702136,1.566002759,2.099554164,0.4997606,1.003565081,0.315033876,-1.19473348,-0.50758078,0.949845019,3.087913601,10.90%,12.20%,0.259502933,2.318124273,2.70872979,1.879034304,2.074098039,2.565576637,2.950918732,-0.785923083,2.848734669,2.421253759,-0.714876957
69,69,1954 _ 1008236,-0.010709265,-1.595387826,-0.800702167,2.237975628,1.374471164,1.424650657,2.774157696,NA,0.687813366,0.607134257,-0.095119125,0.465408579,0.477498251,18.80%,10.10%,2.213268453,2.098954423,2.237346077,2.457488315,-1.357655548,1.837560458,2.379503235,0.252968193,2.252544923,NA,0.461444512
70,70,1955 _ 1008082,0.509869933,-1.18309768,-0.442448462,1.738510016,2.63035864,0.978360809,2.460294412,0.061163375,-0.247400437,1.650038463,-0.288595305,0.951602886,1.057590551,17.70%,15.20%,0.794217707,2.318124273,2.345090926,2.345011146,0.455346347,2.394278713,3.284244439,1.230748218,2.689750737,NA,-0.723208552
71,71,1996 _ 255,0.664636722,0.519712719,-0.368430088,1.950823578,1.784032077,2.390835288,2.196477944,3.684742081,0.570111787,-2.213624493,-0.807631641,0.95537485,2.616588607,16.80%,10.80%,1.616855821,3.085218747,2.547112517,1.879034304,1.297097227,2.865348005,1.52237999,-1.580369353,2.252544923,1.531867184,-0.118944762
72,72,2000 _ 114,0.144057523,-0.526637883,-0.43985364,2.454147817,1.871214054,1.609777438,2.112484997,0.301518276,0.419211688,-0.143620813,-0.571901205,-0.217854046,1.746450157,16.50%,11.60%,1.328932481,2.509897891,2.776070321,2.521760983,0.196346076,2.479927675,1.760469781,-0.785923083,2.451274839,1.610055015,-0.458479457
73,73,1953 _ 1008236,1.11486738,-1.27206551,0.092530508,2.381503996,1.449744881,2.164130197,1.546636823,NA,0.310655389,1.345631544,-0.81104851,0.548667342,0.912567476,14.50%,12.20%,0.855915566,1.633218492,2.560580624,2.650306319,-0.4511546,2.694050081,2.7604469,-0.419255574,2.21279894,NA,NA
74,74,1972 _ 1000137,0.101848399,-0.903219473,0.13100702,1.899608558,0.872873043,1.814782837,2.041356045,2.054924144,-1.262531369,-0.156156528,0.591987391,-0.690997869,1.130102088,16.30%,20.70%,0.033277452,2.016765729,2.237346077,2.152193143,1.458972396,1.794735977,2.427121194,0.558524451,3.484670399,NA,-1.114983976
75,75,1996 _ 1086,0.453591101,-1.26419214,3.174036494,0.747731318,2.680581832,1.179033636,2.946470303,1.186755179,0.114277128,-0.433232041,-0.657039994,0.502298843,1.818961694,19.40%,13.20%,1.411196292,3.222199903,2.129601229,1.750488968,1.620847565,2.694050081,1.427144074,-0.602589328,2.053815008,2.220897442,-0.928840739
76,76,1955 _ 1008315,0.960100591,-0.464588757,-1.482568977,2.795872728,2.375453793,1.924978656,0.75610508,1.242962371,0.908853176,0.255475497,0.810119554,0.326481393,1.528915544,11.80%,9.00%,1.123272953,1.468841104,2.991560018,2.891328824,-0.548279702,2.6512256,2.903300774,1.780749482,2.411528856,NA,-0.371825129
77,77,1994 _ 1009004,-3.120114746,-1.056471032,0.248484134,2.960842341,0.965916398,2.285106632,1.831276263,3.615248565,-0.453174346,-1.381997256,-0.631966941,1.174148794,1.782705926,15.50%,16.30%,0.362332697,2.26333181,3.287858352,3.132351328,0.487721381,0.210230176,0.617638787,-0.847034334,2.530766805,0.857497144,1.055483596
